Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт,Опорный кадр,Текущая секунда
1114,1712879427.947914,1920,1080,60,h264,3026501.798937042,True,1100.072751045227
1115,1712879427.957349,1920,1080,60,h264,3027658.081221688,False,1100.638861656189
1116,1712879427.97975,1920,1080,60,h264,3026674.9952299125,True,1101.982913017273
1117,1712879427.991337,1920,1080,60,h264,3027474.6420332664,False,1102.678141593933
1118,1712879428.0560598,1920,1080,60,h264,3019548.4582682354,True,1106.561508178711
1119,1712879428.0605361,1920,1080,60,h264,3021513.5278320946,False,1106.8300867080688
1120,1712879428.063117,1920,1080,60,h264,3023788.25974319,True,1106.9849395751953
1121,1712879428.066849,1920,1080,60,h264,3025873.5966534773,False,1107.208857536316
1122,1712879428.083104,1920,1080,60,h264,3025905.0601011077,True,1108.184151649475
1123,1712879428.090972,1920,1080,60,h264,3027309.918825681,False,1108.656234741211
1124,1712879428.1116722,1920,1080,60,h264,3026612.58084178,True,1109.898247718811
1125,1712879428.123374,1920,1080,60,h264,3027387.8111417564,False,1110.600357055664
1126,1712879428.147146,1920,1080,60,h264,3026189.96216904,True,1112.0266771316528
1127,1712879428.168836,1920,1080,60,h264,3025334.5779598653,False,1113.3280849456787
1128,1712879428.1770198,1920,1080,60,h264,3026681.7221560325,True,1113.8191080093384
1129,1712879428.198845,1920,1080,60,h264,3025805.169127607,False,1115.1286125183105
1130,1712879428.207851,1920,1080,60,h264,3027016.062054531,True,1115.6689739227295
1131,1712879428.2282372,1920,1080,60,h264,3026374.477504209,False,1116.892147064209
1132,1712879428.2385888,1920,1080,60,h264,3027364.4473441537,True,1117.5132465362549
1133,1712879428.259464,1920,1080,60,h264,3026644.163305406,False,1118.7657594680786
1134,1712879428.2799082,1920,1080,60,h264,3025995.3670356628,True,1119.9924087524414
1135,1712879428.296505,1920,1080,60,h264,3025970.9909289256,False,1120.9882164001465
1136,1712879428.311717,1920,1080,60,h264,3026170.74924397,True,1121.9009399414062
1137,1712879428.3228931,1920,1080,60,h264,3027023.0202028216,False,1122.5715065002441
1138,1712879428.3453262,1920,1080,60,h264,3026054.6785060246,True,1123.9174890518188
1139,1712879428.357972,1920,1080,60,h264,3026668.1753590507,False,1124.6762323379517
1140,1712879428.3832908,1920,1080,60,h264,3025236.8753356016,True,1126.195363998413
1141,1712879428.398826,1920,1080,60,h264,3025384.2762477538,False,1127.1274709701538
1142,1712879428.4138482,1920,1080,60,h264,3025613.9638314913,True,1128.0288076400757
1143,1712879428.439072,1920,1080,60,h264,3024203.611478066,False,1129.5422315597534
1144,1712879428.449644,1920,1080,60,h264,3025148.274291872,True,1130.1765632629395
1145,1712879428.46264,1920,1080,60,h264,3025702.762501469,False,1130.9563207626343
1146,1712879428.490192,1920,1080,60,h264,3023922.9383052443,True,1132.6094341278076
1147,1712879428.4963799,1920,1080,60,h264,3025567.5180876143,False,1132.9807090759277
1148,1712879428.514904,1920,1080,60,h264,3025235.284409928,True,1134.0921592712402
1149,1712879428.528596,1920,1080,60,h264,3025676.4725638037,False,1134.913673400879
1150,1712879428.546796,1920,1080,60,h264,3025396.4708076515,True,1136.0056829452515
1151,1712879428.562422,1920,1080,60,h264,3025527.965229503,False,1136.9432401657104
1152,1712879428.57273,1920,1080,60,h264,3026507.9125086647,True,1137.5617218017578
1153,1712879428.5942159,1920,1080,60,h264,3025703.914683102,False,1138.8508701324463
1154,1712879428.61492,1920,1080,60,h264,3025026.187531739,True,1140.0931119918823
1155,1712879428.625032,1920,1080,60,h264,3026034.8942136625,False,1140.6998348236084
1156,1712879428.649042,1920,1080,60,h264,3024832.4925795603,True,1142.1404314041138
1157,1712879428.659662,1920,1080,60,h264,3025758.7790519004,False,1142.7776384353638
1158,1712879428.6814878,1920,1080,60,h264,3024905.3557920493,True,1144.0871858596802
1159,1712879428.693043,1920,1080,60,h264,3025681.7332318313,False,1144.7804975509644
1160,1712879428.7143612,1920,1080,60,h264,3024910.2717750794,True,1146.0595893859863
1161,1712879428.724891,1920,1080,60,h264,3025847.65553807,False,1146.6913747787476
1162,1712879428.750829,1920,1080,60,h264,3024347.0312064528,True,1148.2476568222046
1163,1712879428.761322,1920,1080,60,h264,3025288.7404555567,False,1148.877239227295
1164,1712879428.77329,1920,1080,60,h264,3025996.4706219267,True,1149.5953130722046
1165,1712879428.800411,1920,1080,60,h264,3024312.946316196,False,1151.2225770950317
1166,1712879428.808345,1920,1080,60,h264,3025655.548514925,True,1151.6986227035522
1167,1712879428.839594,1920,1080,60,h264,3023326.348318741,False,1153.5735511779785
1168,1712879428.850225,1920,1080,60,h264,3024242.566719295,True,1154.2114162445068
1169,1712879428.8609731,1920,1080,60,h264,3025139.374053811,False,1154.8563051223755
1170,1712879428.878613,1920,1080,60,h264,3024952.6812985656,True,1155.9146976470947
1171,1712879428.894368,1920,1080,60,h264,3025062.035465066,False,1156.8599939346313
1172,1712879428.921969,1920,1080,60,h264,3023315.2311034747,True,1158.5160541534424
1173,1712879428.928066,1920,1080,60,h264,3024937.467716791,False,1158.8818788528442
1174,1712879428.974522,1920,1080,60,h264,3020249.710326133,True,1161.6692447662354
1175,1712879428.9807098,1920,1080,60,h264,3021854.373968947,False,1162.0405054092407
1176,1712879428.982639,1920,1080,60,h264,3024122.729200685,True,1162.156262397766
1177,1712879428.996706,1920,1080,60,h264,3024495.5371968667,False,1163.0002784729004
1178,1712879429.010677,1920,1080,60,h264,3024882.7506841617,True,1163.8385438919067
1179,1712879429.0307672,1920,1080,60,h264,3024316.052416236,False,1165.0439500808716
1180,1712879429.044138,1920,1080,60,h264,3024796.168187245,True,1165.8461952209473
1181,1712879429.070832,1920,1080,60,h264,3023204.095934976,False,1167.4478387832642
1182,1712879429.078549,1920,1080,60,h264,3024562.2468902534,True,1167.910852432251
1183,1712879429.097037,1920,1080,60,h264,3024246.484130149,False,1169.0201425552368
1184,1712879429.115527,1920,1080,60,h264,3023931.0612822324,True,1170.1295328140259
1185,1712879429.130501,1920,1080,60,h264,3024160.8953283066,False,1171.027979850769
1186,1712879429.175385,1920,1080,60,h264,3019766.157489597,True,1173.7210178375244
1187,1712879429.178758,1920,1080,60,h264,3021789.168935857,False,1173.9233922958374
1188,1712879429.181108,1920,1080,60,h264,3023969.5391639327,True,1174.0643978118896
1189,1712879429.207448,1920,1080,60,h264,3022444.334549181,False,1175.6447982788086
1190,1712879429.214359,1920,1080,60,h264,3023917.635988263,True,1176.0594606399536
1191,1712879429.230983,1920,1080,60,h264,3023891.989257259,False,1177.0568990707397
1192,1712879429.253706,1920,1080,60,h264,3022927.3737137797,True,1178.4202766418457
1193,1712879429.264193,1920,1080,60,h264,3023846.6592869577,False,1179.0495014190674
1194,1712879429.276371,1920,1080,60,h264,3024504.858046596,True,1179.7801780700684
1195,1712879429.2964082,1920,1080,60,h264,3023954.3266903427,False,1180.9824085235596
1196,1712879429.312504,1920,1080,60,h264,3024009.8217145456,True,1181.948161125183
1197,1712879429.331755,1920,1080,60,h264,3023581.3678429755,False,1183.1032133102417
1198,1712879429.354298,1920,1080,60,h264,3022649.5589081775,True,1184.455804824829
1199,1712879429.366067,1920,1080,60,h264,3023368.1132603646,False,1185.1619338989258
1200,1712879429.3800478,1920,1080,60,h264,3023747.392795727,True,1186.0007858276367
1201,1712879429.4004679,1920,1080,60,h264,3023142.011157398,False,1187.2259902954102
1202,1712879429.4135659,1920,1080,60,h264,3023655.60609951,True,1188.0118703842163
1203,1712879429.424129,1920,1080,60,h264,3024555.4764889968,False,1188.645658493042
1204,1712879429.456976,1920,1080,60,h264,3022056.8907917044,True,1190.6164741516113
1205,1712879429.464161,1920,1080,60,h264,3023470.082440694,False,1191.0475730895996
1206,1712879429.4814909,1920,1080,60,h264,3023337.703115422,True,1192.087368965149
1207,1712879429.4932501,1920,1080,60,h264,3024052.703427929,False,1192.7929258346558
1208,1712879429.522589,1920,1080,60,h264,3022096.032773843,True,1194.553256034851
1209,1712879429.5315452,1920,1080,60,h264,3023235.6913745264,False,1195.090627670288
1210,1712879429.546505,1920,1080,60,h264,3023463.420805286,True,1195.9882164001465
1211,1712879429.5572171,1920,1080,60,h264,3024334.7980424566,False,1196.6309452056885
1212,1712879429.5811992,1920,1080,60,h264,3023194.797295961,True,1198.0698680877686
1213,1712879429.602089,1920,1080,60,h264,3022525.0490419683,False,1199.3232536315918
1214,1712879429.6139898,1920,1080,60,h264,3023214.808908491,True,1200.0373077392578
1215,1712879429.624423,1920,1080,60,h264,3024125.5357176,False,1200.6632995605469
1216,1712879429.6557848,1920,1080,60,h264,3021876.5217372114,True,1202.5450086593628
1217,1712879429.664247,1920,1080,60,h264,3023083.1872812347,False,1203.052740097046
1218,1712879429.681548,1920,1080,60,h264,3022956.8075122326,True,1204.090805053711
1219,1712879429.693515,1920,1080,60,h264,3023633.637514252,False,1204.8088216781616
1220,1712879429.715909,1920,1080,60,h264,3022740.98041336,True,1206.152458190918
1221,1712879429.735285,1920,1080,60,h264,3022303.5296155163,False,1207.3150205612183
1222,1712879429.751295,1920,1080,60,h264,3022372.0163790868,True,1208.2756233215332
1223,1712879429.764695,1920,1080,60,h264,3022831.8918214384,False,1209.079613685608
1224,1712879429.784713,1920,1080,60,h264,3022299.207792262,True,1210.2806997299194
1225,1712879429.793042,1920,1080,60,h264,3023517.955329225,False,1210.7804346084595
1226,1712879429.816996,1920,1080,60,h264,3022396.4037042647,True,1212.2176837921143
1227,1712879429.831632,1920,1080,60,h264,3022669.978466982,False,1213.0958318710327
1228,1712879429.849004,1920,1080,60,h264,3022534.385007646,True,1214.138159751892
1229,1712879429.86567,1920,1080,60,h264,3022504.4149253033,False,1215.1381158828735
1230,1712879429.882277,1920,1080,60,h264,3022483.275640541,True,1216.1345386505127
1231,1712879429.926902,1920,1080,60,h264,3018293.357299436,False,1218.8120412826538
1232,1712879429.936776,1920,1080,60,h264,3019275.681367687,True,1219.4044733047485
