Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео
304,0.042859554290771484,960,540,25.0,h264,1518.75,2024-04-13 07:55:19
305,0.08286023139953613,960,540,25.0,h264,3037.490234375,2024-04-13 07:55:19
306,0.0780789852142334,960,540,25.0,h264,3037.5,2024-04-13 07:55:19
307,0.04294109344482422,960,540,25.0,h264,1518.75,2024-04-13 07:55:19
308,0.07713890075683594,960,540,25.0,h264,3037.5,2024-04-13 07:55:19
309,0.07706809043884277,960,540,25.0,h264,3037.548828125,2024-04-13 07:55:19
310,0.05141186714172363,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
311,0.0685880184173584,960,540,25.0,h264,3037.4970703125,2024-04-13 07:55:20
312,0.04307413101196289,960,540,25.0,h264,1518.70703125,2024-04-13 07:55:20
313,0.04707789421081543,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
314,0.07280898094177246,960,540,25.0,h264,3037.5,2024-04-13 07:55:20
315,0.08650493621826172,960,540,25.0,h264,3037.5029296875,2024-04-13 07:55:20
316,0.06652116775512695,960,540,25.0,h264,3037.5,2024-04-13 07:55:20
317,0.04241204261779785,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
318,0.04244875907897949,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
319,0.052230119705200195,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
320,0.07050299644470215,960,540,25.0,h264,3037.5,2024-04-13 07:55:20
321,0.04005599021911621,960,540,25.0,h264,2094.552734375,2024-04-13 07:55:20
322,0.04026293754577637,960,540,25.0,h264,942.947265625,2024-04-13 07:55:20
323,0.07414102554321289,960,540,25.0,h264,3037.5,2024-04-13 07:55:20
324,0.04294395446777344,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
325,0.07828116416931152,960,540,25.0,h264,3037.4970703125,2024-04-13 07:55:20
326,0.041974782943725586,960,540,25.0,h264,1518.75,2024-04-13 07:55:20
327,0.07715106010437012,960,540,25.0,h264,3037.5,2024-04-13 07:55:21
328,0.045980215072631836,960,540,25.0,h264,1518.75,2024-04-13 07:55:21
329,0.07669401168823242,960,540,25.0,h264,3037.5,2024-04-13 07:55:21
330,0.04331493377685547,960,540,25.0,h264,1518.75,2024-04-13 07:55:21
331,0.04094886779785156,960,540,25.0,h264,2094.5556640625,2024-04-13 07:55:21
