Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео,day,month,hour_min,loss,anomaly
5469.0,0.0400009155273437,960.0,540.0,25.0,h264,1321.48828125,2024-04-13 12:46:00,13,4,12.766666666666667,0.0015442249,False
5470.0,0.0400011539459228,960.0,540.0,25.0,h264,1617.81640625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0011105577,False
5471.0,0.0400009155273437,960.0,540.0,25.0,h264,1878.1953125,2024-04-13 12:46:00,13,4,12.766666666666667,0.00123572,False
5472.0,0.0400030612945556,960.0,540.0,25.0,h264,1993.974609375,2024-04-13 12:46:00,13,4,12.766666666666667,0.0013670702,False
5473.0,0.0400009155273437,960.0,540.0,25.0,h264,1132.537109375,2024-04-13 12:46:00,13,4,12.766666666666667,0.0018770293,False
5474.0,0.0688669681549072,960.0,540.0,25.0,h264,2352.037109375,2024-04-13 12:46:00,13,4,12.766666666666667,0.0012464712,False
5475.0,0.0445039272308349,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:00,13,4,12.766666666666667,0.0010483229,False
5476.0,0.0438992977142334,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:00,13,4,12.766666666666667,0.0010592447,False
5477.0,0.0409169197082519,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:00,13,4,12.766666666666667,0.0011607283,False
5478.0,0.0400009155273437,960.0,540.0,25.0,h264,2545.462890625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0017821608,False
5479.0,0.0400002002716064,960.0,540.0,25.0,h264,877.626953125,2024-04-13 12:46:00,13,4,12.766666666666667,0.0021050102,False
5480.0,0.0400006771087646,960.0,540.0,25.0,h264,2010.1416015625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0013997792,False
5481.0,0.0400009155273437,960.0,540.0,25.0,h264,1559.0048828125,2024-04-13 12:46:00,13,4,12.766666666666667,0.0011773829,False
5482.0,0.0400002002716064,960.0,540.0,25.0,h264,885.9755859374998,2024-04-13 12:46:01,13,4,12.766666666666667,0.002106247,False
5483.0,0.070707082748413,960.0,540.0,25.0,h264,2753.0380859375,2024-04-13 12:46:01,13,4,12.766666666666667,0.0010810774,False
5484.0,0.0412569046020507,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:01,13,4,12.766666666666667,0.0011511967,False
5485.0,0.0453782081604003,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:01,13,4,12.766666666666667,0.0010508762,False
5486.0,0.0411179065704345,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:46:01,13,4,12.766666666666667,0.0011613283,False
5487.0,0.0400009155273437,960.0,540.0,25.0,h264,2702.1142578125,2024-04-13 12:46:01,13,4,12.766666666666667,0.0018904989,False
5488.0,0.0400002002716064,960.0,540.0,25.0,h264,544.2783203125,2024-04-13 12:46:01,13,4,12.766666666666667,0.0023959354,False
