Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Продолжительность видео
368,0.04131293296813965,854,480,25.0,h264,1200.9375,14.72
369,0.07738709449768066,854,480,25.0,h264,2401.875,14.76
370,0.043914079666137695,854,480,25.0,h264,1200.9375,14.8
371,0.0429689884185791,854,480,25.0,h264,1200.9375,14.84
372,0.0748300552368164,854,480,25.0,h264,2401.875,14.88
373,0.07425093650817871,854,480,25.0,h264,2401.875,14.92
374,0.046250104904174805,854,480,25.0,h264,1200.9375,14.96
375,0.08802580833435059,854,480,25.0,h264,2401.875,15.0
376,0.06396007537841797,854,480,25.0,h264,2401.875,15.04
377,0.049359798431396484,854,480,25.0,h264,1200.9375,15.08
378,0.07633423805236816,854,480,25.0,h264,2401.875,15.12
379,0.040001869201660156,854,480,25.0,h264,1671.9453125,15.16
380,0.04185819625854492,854,480,25.0,h264,729.9296875,15.2
381,0.07563591003417969,854,480,25.0,h264,2401.875,15.24
382,0.042803049087524414,854,480,25.0,h264,1200.9375,15.28
383,0.07605290412902832,854,480,25.0,h264,2401.875,15.32
384,0.045690059661865234,854,480,25.0,h264,1200.9375,15.36
385,0.07759594917297363,854,480,25.0,h264,2401.875,15.4
386,0.0778510570526123,854,480,25.0,h264,2401.875,15.44
387,0.044178009033203125,854,480,25.0,h264,1200.9375,15.48
388,0.07689690589904785,854,480,25.0,h264,2401.875,15.52
389,0.04114699363708496,854,480,25.0,h264,1200.9375,15.56
390,0.04025387763977051,854,480,25.0,h264,1200.9375,15.6
391,0.049285173416137695,854,480,25.0,h264,1200.9375,15.64
392,0.07050609588623047,854,480,25.0,h264,2401.875,15.68
393,0.04218173027038574,854,480,25.0,h264,1200.9375,15.72
394,0.04246234893798828,854,480,25.0,h264,1200.9375,15.76
395,0.04188966751098633,854,480,25.0,h264,1200.9375,15.8
396,0.06857419013977051,854,480,25.0,h264,2401.875,15.84
397,0.051947832107543945,854,480,25.0,h264,1200.9375,15.88
398,0.07504916191101074,854,480,25.0,h264,2401.875,15.92
399,0.07845497131347656,854,480,25.0,h264,2401.875,15.96
400,0.04023408889770508,854,480,25.0,h264,1200.9375,16.0
401,0.04371213912963867,854,480,25.0,h264,1200.9375,16.04
402,0.04000687599182129,854,480,25.0,h264,1442.4287109375,16.08
403,0.08418083190917969,854,480,25.0,h264,2161.69140625,16.12
404,0.06937003135681152,854,480,25.0,h264,2401.875,16.16
405,0.04531121253967285,854,480,25.0,h264,1200.9375,16.2
406,0.0742487907409668,854,480,25.0,h264,2401.875,16.24
407,0.08847403526306152,854,480,25.0,h264,2401.875,16.28
408,0.07686114311218262,854,480,25.0,h264,2401.875,16.32
409,0.08022403717041016,854,480,25.0,h264,2401.875,16.36
410,0.0734858512878418,854,480,25.0,h264,2401.875,16.4
411,0.04341697692871094,854,480,25.0,h264,1200.9375,16.44
412,0.07409477233886719,854,480,25.0,h264,2401.875,16.48
413,0.0446321964263916,854,480,25.0,h264,1200.9375,16.52
414,0.07715201377868652,854,480,25.0,h264,2401.875,16.56
